"","ID","test_Type","both_Invalid","L_Inval","R_Inval","under1mm","over10mm","L_Mean_Pup_Diam","L_Mean_Pup_Diam_Change","R_Mean_Pup_Diam","R_Mean_Pup_Diam_Change"
"1",1,"DataFiles",8.50518937862246,11.510985307993,8.50518937862246,0,0,5.32016971515613,-0.11625365117643,5.08840982513328,-0.0531952018313312
"2",1,"DataFiles",2.32058059313682,5.66257503807902,2.32058059313682,0,0,4.75469399943015,0.131503564629012,4.7404715015671,-0.0681478116507765
"3",1,"DataFiles",0.44826967903891,1.37170521785906,0.44826967903891,0,0,5.42609078538315,0.0305740356671505,5.1383611426234,0.332771412418965
"4",1,"DataFiles",1.66460162689221,4.19651995905834,1.66460162689221,0,0,4.445280422852,0.0581038372528699,4.36499646367521,-0.161051537942044
"5",1,"DataFiles",3.66590977484748,5.49339315514458,4.47569282958991,0,0,5.74199918888143,0.0996066537988295,5.17598026657713,-0.262941270465168
"6",1,"DataFiles",2.82232774840964,5.94032792760505,3.48535077502016,0,0,5.26336037797391,-0.329898248118017,5.09122660303147,0.069002476146945
"7",1,"DataFiles",1.54025252977523,1.60293722575446,1.71935166114444,0,0,5.63705568836616,-0.738306450400096,5.30588695568928,-0.788644416877193
"8",1,"DataFiles",0.963816497953909,2.79452939909541,1.14150333835882,0,0,4.79644612153163,-0.221861662735718,4.56226598945616,-0.0764011119430247
"9",2,"DataFiles",17.6321671918343,17.640246694137,17.8664727586114,0,0,5.27498922771693,-1.0833536204518,4.51687598117663,-0.0281023243396602
"10",2,"DataFiles",6.62127049547532,6.62127049547532,6.75566705492339,0,0,4.93763796387047,0.0756269473358767,4.02530766791583,-0.128255147221375
"11",2,"DataFiles",4.23987092147723,4.23987092147723,4.2846898529939,0,0,5.22420430979584,-0.0562771707489969,4.89950364675033,-0.192519130253818
"12",2,"DataFiles",6.52595304759854,6.52595304759854,6.55287529614473,0,0,4.65434348314607,-0.169323768808512,4.07288174762316,-0.00950932446701912
"13",2,"DataFiles",16.8172285852557,16.8602462762811,16.9704791095338,0,0,4.78595920527441,-0.0418934200419106,4.9171307088706,-0.109324021445873
"14",2,"DataFiles",6.90303518667741,6.92989524576954,7.03733548213806,0,0,4.66500242581888,-1.10984895826177,4.76689607225433,0.28343022794114
"15",2,"DataFiles",4.04945350295646,4.04945350295646,4.10320731051783,0,0,5.18853358744395,0.169129888651871,5.17275804372197,0.0756665658601757
"16",3,"DataFiles",22.7838887091556,23.0561846220209,23.3311765340235,0,0,5.02795342661538,-0.156450283818256,5.2309261742598,-0.163430747405568
"17",3,"DataFiles",21.7920057229724,21.9350800321917,22.3106500938925,0,0,4.82161622578413,0.229675390812447,4.89948274561808,-0.160434314750244
"18",3,"DataFiles",16.6965405986736,16.857859831511,17.0998386807672,0,0,5.31102196598787,0.227718455635803,5.58600595753899,-0.147173308632056
